Date,Open,High,Low,Close,Adj Close,Volume
18/3/2021,232.5599976,234.1900024,230.3300018,230.7200012,226.6325378,34833000
19/3/2021,231.0200043,232.4700012,229.3500061,230.3500061,226.269104,46430700
22/3/2021,230.2700043,236.8999939,230.1399994,235.9900055,231.8091736,30127000
23/3/2021,237.4900055,241.0500031,237.0700073,237.5800018,233.3710022,31638400
24/3/2021,237.8500061,238,235.3200073,235.4600067,231.288559,25620100
25/3/2021,235.3000031,236.9400024,231.5700073,232.3399963,228.2238159,34061900
26/3/2021,231.5500031,236.7100067,231.5500031,236.4799957,232.2904816,25479900
29/3/2021,236.5899963,236.8000031,231.8800049,235.2400055,231.0724792,25227500
30/3/2021,233.5299988,233.8500061,231.1000061,231.8500061,227.7425232,24792000
31/3/2021,232.9100037,239.1000061,232.3899994,235.7700043,231.5930786,43623500
1/4/2021,238.4700012,242.8399963,238.0500031,242.3500061,238.0565033,30338000
5/4/2021,242.7599945,249.9600067,242.6999969,249.0700073,244.6574707,36910600
6/4/2021,247.6100006,249.3999939,246.8800049,247.8600006,243.4688873,22931900
7/4/2021,247.8099976,250.9299927,247.1900024,249.8999939,245.4727325,22719800
8/4/2021,252.7700043,254.1399994,252,253.25,248.763382,23625200
9/4/2021,252.8699951,255.9900055,252.4400024,255.8500061,251.317337,24326800
12/4/2021,254.7100067,257.6700134,254.6199951,255.9100037,251.3762512,27148700
13/4/2021,257.2600098,259.1900024,256.8299866,258.4899902,253.910553,23837500
14/4/2021,257.480011,258.8299866,255.1600037,255.5899963,251.0619049,23070900
15/4/2021,257.9299927,259.9299927,257.730011,259.5,254.9026337,25627500
16/4/2021,259.4700012,261,257.6000061,260.7399902,256.1207275,24878600
19/4/2021,260.1900024,261.480011,257.8200073,258.7399902,254.1561279,23209300
20/4/2021,257.8200073,260.2000122,256.8399963,258.2600098,253.6846466,19722900
21/4/2021,258.9400024,260.6799927,257.25,260.5799866,255.9635315,24030400
22/4/2021,260.2099915,261.7799988,255.6399994,257.1700134,252.6139679,25606200
